"team1","team2","winner","venue"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Sunrisers Hyderabad","Rising Pune Supergiants","Rising Pune Supergiants","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Gujarat Lions","Gujarat Lions","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rising Pune Supergiants","Gujarat Lions","Gujarat Lions","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Gujarat Lions","Punjab Kings","Punjab Kings","Saurashtra Cricket Association Stadium, Rajkot"
"Rising Pune Supergiants","Mumbai Indians","Mumbai Indians","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Gujarat Lions","Delhi Capitals","Delhi Capitals","Saurashtra Cricket Association Stadium, Rajkot"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Rising Pune Supergiants","Rising Pune Supergiants","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Gujarat Lions","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Rising Pune Supergiants","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Delhi Capitals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Kolkata Knight Riders","Gujarat Lions","Gujarat Lions","Eden Gardens, Kolkata"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rising Pune Supergiants","Sunrisers Hyderabad","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Punjab Kings","Punjab Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Royal Challengers Bengaluru","Gujarat Lions","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Rising Pune Supergiants","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Eden Gardens, Kolkata"
"Rising Pune Supergiants","Delhi Capitals","Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Gujarat Lions","Kolkata Knight Riders","Gujarat Lions","Green Park, Kanpur"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Rising Pune Supergiants","Punjab Kings","Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Gujarat Lions","Mumbai Indians","Gujarat Lions","Green Park, Kanpur"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Shaheed Veer Narayan Singh International Stadium, Raipur"
"Gujarat Lions","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Rising Pune Supergiants","Mumbai Indians","Rising Pune Supergiants","Maharashtra Cricket Association Stadium, Pune"
"Gujarat Lions","Kolkata Knight Riders","Kolkata Knight Riders","Saurashtra Cricket Association Stadium, Rajkot"
"Punjab Kings","Rising Pune Supergiants","Punjab Kings","Holkar Cricket Stadium, Indore"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Gujarat Lions","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Holkar Cricket Stadium, Indore"
"Rising Pune Supergiants","Delhi Capitals","Delhi Capitals","Maharashtra Cricket Association Stadium, Pune"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Gujarat Lions","Rising Pune Supergiants","Gujarat Lions","Saurashtra Cricket Association Stadium, Rajkot"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Gujarat Lions","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Rising Pune Supergiants","Rising Pune Supergiants","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Gujarat Lions","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Saurashtra Cricket Association Stadium, Rajkot"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Holkar Cricket Stadium, Indore"
"Kolkata Knight Riders","Gujarat Lions","Gujarat Lions","Eden Gardens, Kolkata"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rising Pune Supergiants","Sunrisers Hyderabad","Rising Pune Supergiants","Maharashtra Cricket Association Stadium, Pune"
"Gujarat Lions","Punjab Kings","Punjab Kings","Saurashtra Cricket Association Stadium, Rajkot"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Rising Pune Supergiants","Rising Pune Supergiants","Wankhede Stadium, Mumbai"
"Rising Pune Supergiants","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Gujarat Lions","Gujarat Lions","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rising Pune Supergiants","Royal Challengers Bengaluru","Rising Pune Supergiants","Maharashtra Cricket Association Stadium, Pune"
"Gujarat Lions","Mumbai Indians","Mumbai Indians","Saurashtra Cricket Association Stadium, Rajkot"
"Punjab Kings","Delhi Capitals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rising Pune Supergiants","Gujarat Lions","Rising Pune Supergiants","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Rising Pune Supergiants","Rising Pune Supergiants","Eden Gardens, Kolkata"
"Delhi Capitals","Gujarat Lions","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Rising Pune Supergiants","Rising Pune Supergiants","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Gujarat Lions","Gujarat Lions","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Kolkata Knight Riders","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Gujarat Lions","Delhi Capitals","Delhi Capitals","Green Park, Kanpur"
"Mumbai Indians","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Delhi Capitals","Rising Pune Supergiants","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","Green Park, Kanpur"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Eden Gardens, Kolkata"
"Rising Pune Supergiants","Punjab Kings","Rising Pune Supergiants","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Mumbai Indians","Rising Pune Supergiants","Rising Pune Supergiants","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Rising Pune Supergiants","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Delhi Capitals","Punjab Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Delhi Capitals","Delhi Capitals","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","Eden Gardens, Kolkata"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","M Chinnaswamy Stadium, Bengaluru"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Sunrisers Hyderabad","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Delhi Capitals","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Holkar Cricket Stadium, Indore"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Punjab Kings","Punjab Kings","Holkar Cricket Stadium, Indore"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Eden Gardens, Kolkata"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Holkar Cricket Stadium, Indore"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Holkar Cricket Stadium, Indore"
"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Chennai Super Kings","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Delhi Capitals","Mumbai Indians","Delhi Capitals","Wankhede Stadium, Mumbai"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Sawai Mansingh Stadium, Jaipur"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Mumbai Indians","Royal Challengers Bengaluru","Mumbai Indians","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Punjab Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Delhi Capitals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Wankhede Stadium, Mumbai"
"Delhi Capitals","Sunrisers Hyderabad","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Sawai Mansingh Stadium, Jaipur"
"Sunrisers Hyderabad","Punjab Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","Sawai Mansingh Stadium, Jaipur"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Eden Gardens, Kolkata"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","Eden Gardens, Kolkata"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Delhi Capitals","Delhi Capitals","Sawai Mansingh Stadium, Jaipur"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Eden Gardens, Kolkata"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Delhi Capitals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Punjab Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Mumbai Indians","Chennai Super Kings","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sheikh Zayed Stadium, Abu Dhabi"
"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","Sharjah Cricket Stadium, Sharjah"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Sharjah Cricket Stadium, Sharjah"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Sunrisers Hyderabad","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Sharjah Cricket Stadium, Sharjah"
"Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","Sharjah Cricket Stadium, Sharjah"
"Mumbai Indians","Punjab Kings","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","Sharjah Cricket Stadium, Sharjah"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Rajasthan Royals","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Sharjah Cricket Stadium, Sharjah"
"Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Punjab Kings","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Delhi Capitals","Royal Challengers Bengaluru","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Sharjah Cricket Stadium, Sharjah"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Punjab Kings","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
